,TRIADI,,,,,,QUADRIADI,,,,,,,,,,,,,,,,,,,,> 5 NOTE,,,,,,,,INVERSIONI,,,,,
Fondamentale,Maggiore,m,dim (°),aum (+),sus 2,sus 4,6,m6,7 (di dominante),maj7,m7,m7b5 (semidim),7dim,m (maj 7),maj 7 ♯5,7 ♯5,7 ♭5,maj 7 ♭5,dim (maj7),7 sus 4,add 2,m add 2,add 4,m add 4,add 9 ,"m add 9
",9,m9,maj 9,11,m 11,13,m 13,13 sus 4,/3,/5,/7,/9,/11,/13
,1 3 5,1  ♭3   5,1  ♭3  ♭5 ,1  3 #5,1 2 5,1 4 5,1 3 5 6 ,1  ♭3  5  6,1   3  5  ♭7,1 3 5 7,1  ♭3  5 ♭7,1  ♭3  ♭5  ♭7,1  ♭3  5  ♭♭7,1  ♭3  5  7,1 3 #5 7,1  3  #5 ♭7,1  3  ♭5  ♭7,1  3  ♭5  7,1 ♭3  ♭5  7,1  4  5 ♭7,1 2 3 5 ,1  2 ♭3  5,1 3 4 5 ,1  ♭3  4  5 ,1 3 5 9,1  ♭3  5  9,1  3  5 ♭7  9 ,1 ♭3  5  ♭7  9 ,1 3 5 7 9,1  3  5  ♭7  9  11,"1 - ♭3 - 5 - ♭7 - 9 - 13
",1 - 3 - 5 - ♭7 - 9 - 13,1 - 3 - 5 - 7 - 9 - 13,"1 - 4 - 5 - ♭7 - 9 - 13
",3/1 5  ,5/1 3  ,♭7/1 3 5 ,9/1  3  5  ♭7,11/1  3  5  ♭7  9,13/1  3  5  ♭7  9 11
Do,Do Mi Sol,Do Mib Sol,Do Mib Solb,Do Mi Sol#,Do Re Sol,Do Fa Sol,Do Mi Sol La,Do Mib Sol La,Do Mi Sol Sib,Do Mi Sol Si,Do Mib Sol Sib,Do  Mib Solb Sib,Do  Mib Solb Sibb,Do Mib Sol Si,Do Mi Sol# Si,Do Mi Sol# Sib,Do Mi Solb Sib,Do Mi Solb Si,Do Mib Solb Si,Do Fa Sol Sib,Do Re Mi Sol,Do Re Mib Sol,Do Mi Fa Sol,Do Mib Fa Sol,Do Mi Sol Re,Do Mib Sol Re,Do Mi Sol Sib Re,Do Mib Sol Sib Re,Do Mi Sol Si Re,Do Mi Sol Sib Re Fa,Do Mib Sol Sib Re La,Do Mi Sol Sib Re La,Do Mi Sol Si Re La,Do Fa Sol Sib Re La,Mi Sol Do,Sol Do Mi,Sib Do Mi Sol,Re Do Mi Sol Sib,Fa Do Mi Sol Sib Re,La Do Mi Sol Sib Re Fa
Do#,Do# Mi# Sol#,Do# Mi Sol#,Do# Mi Sol,Do# Mi Sol##,Do# Re# Sol#,Do# Fa# Sol#,Do# Mi# Sol# La#,Do# Mi Sol# La#,Do# Mi# Sol# Si,Do# Mi# Sol# Si#,Do# Mi Sol# Si,Do# Mi  Sol  Sib,Do# Mi  Sol  Sibb,Do# Mi Sol# Si#,Do# Mi# Sol## Si#,Do# Mi# Sol## Si,Do# Mi# Sol Si,Do# Mi# Sol Si#,Do# Mi Sol Si#,Do# Fa# Sol# Si,Do# Re# Mi# Sol#,Do# Re# Mi Sol#,Do# Mi# Fa# Sol#,Do# Mi Fa# Sol#,Do# Mi# Sol# Re#,Do# Mi Sol# Re#,Do# Mi# Sol# Si Re#,Do# Mi Sol# Si Re#,Do# Mi# Sol# Si# Re#,Do# Mi# Sol# Si Re# Fa#,Do# Mi Sol# Si Re# La#,Do# Mi# Sol# Si Re# La#,Do# Mi# Sol# Si# Re# La#,Do# Fa# Sol# Si Re# La#,Mi# Sol# Do#,Sol# Do# Mi#,Si Do# Mi# Sol#,Re# Do# Mi# Sol# Si,Fa# Do# Mi# Sol# Si Re#,La# Do# Mi# Sol# Si Re# Fa#
Reb,Reb Fa Lab,Reb Fab Lab,Reb Fab Labb,Reb Fa La,Reb Mib Lab,Reb Solb Lab,Reb Fa Lab Sib,Reb Fab Lab Sib,Reb Fa Lab Dob,Reb Fa Lab Do,Reb Fab Lab Dob,no,no,no,Reb Fa La Do,Reb Fa La Dob,Reb Fa Labb Dob,Reb Fa Labb Do,no,Reb Solb Lab Dob,Reb Mib Fa Lab,no,Reb Fa Solb Lab,no,Reb Fa Lab Mib,no,Reb Fa Lab Dob Mib,Reb Fab Lab Dob Mib,Reb Fa Lab Do Mib,Reb Fa Lab Dob Mib Solb,Reb Fab Lab Dob Mib Sib,Reb Fa Lab Dob Mib Sib,Reb Fa Lab Do Mib Sib,Reb Solb Lab Dob Mib Sib,Fa Lab Reb,Lab Reb Fa,Dob Reb Fa Lab,Mib Reb Fa Lab Dob,Solb Reb Fa Lab Dob Mib,Sib Reb Fa Lab Dob Mib Solb
Re,Re Fa# La,Re Fa La,Re Fa Lab,Re Fa# La#,Re Mi La,Re Sol La,Re Fa# La Si,Re Fa La Si ,Re Fa# La Do,Re Fa# La Do#,Re Fa La Do,Re  Fa  Lab Do,Re  Fa  Lab Dob,Re Fa La Do#,Re Fa# La# Do#,Re Fa# La# Do,Re Fa# Lab Do,Re Fa# Lab Do#,Re Fa Lab Do#,Re Sol La Do,Re Mi Fa La,Re Mi Fa La,Re Fa# Sol La,Re Fa Sol La,Re Fa# La Mi,Re Fa La Mi,Re Fa# La Do Mi,Re Fa La Do Mi,Re Fa# La Do# Mi,Re Fa# La Do Mi Sol,Re Fa La Do Mi Si,Re Fa# La Do Mi Si,Re Fa# La Do# Mi Si,Re Sol La Do Mi Si,Fa# La Re,La Re Fa#,Do Re Fa# La,Mi Re Fa# La Do,Sol Re Fa# La Do Mi,Si Re Fa# La Do Mi Sol
Re#,no,Re# Fa# La#,Re# Fa# La,no,Re# Mi# La#,Re# Sol# La#,no,Re# Fa# La# Si#,no,no,Re# Fa# La# Do#,Re# Fa# La  Do#,Re# Fa# La  Do,Re# Fa# La# Do##,no,no,no,no,Re# Fa# La Do##,Re# Sol# La# Do#,no,Re# Mi# Fa# La#,no,Re# Fa# Sol# La#,no,Re# Fa# La# Mi#,no,Re# Fa# La# Do# Mi#,no,no,Re# Fa# La# Do# Mi# Si#,no,no,Re# Sol# La# Do# Mi# Si#,no,no,no,no,no,no
Mib,Mib Sol Sib,Mib Solb Sib,Mib Solb Sibb,Mib Sol Si,Mib Fa Sib,Mib Lab Sib,Mib Sol Sib Do,Mib Solb Sib Do,Mib Sol Sib Reb,Mib Sol Sib Re,Mib Solb Sib Reb,no,no,Mib Solb Sib Re,Mib Sol Si Re,Mib Sol Si Reb,Mib Sol Sibb Reb,Mib Sol Sibb Re,Mib Solb Sibb Re,Mib Lab Sib Reb,Mib Fa Sol Sib,Mib Fa Solb Sib,Mib Sol Lab Sib,Mib Solb Lab Sib,Mib Sol Sib Fa,Mib Solb Sib Fa,Mib Sol Sib Reb Fa,Mib Solb Sib Reb Fa,Mib Sol Sib Re Fa,Mib Sol Sib Reb Fa Lab,Mib Solb Sib Reb Fa Do,Mib Sol Sib Reb Fa Do,Mib Sol Sib Re Fa Do,Mib Lab Sib Reb Fa Do,Sol Sib Mib,Sib Mib Sol,Reb Mib Sol Sib,Fa Mib Sol Sib Reb,Lab Mib Sol Sib Reb Fa,Do Mib Sol Sib Reb Fa Lab
Mi,Mi Sol# Si,Mi Sol Si,Mi Sol Sib,Mi Sol# Do,Mi Fa# Si,Mi La Si,Mi Sol# Si Do#,Mi Sol Si Do#,Mi Sol# Si Re,Mi Sol# Si Re#,Mi Sol Si Re,Mi  Sol Sib Re,Mi  Sol Sib Reb,Mi Sol Si Re#,Mi Sol# Si# Re#,Mi Sol# Si# Re,Mi Sol# Sib Re,Mi Sol# Sib Re#,Mi Sol Sib Re#,Mi La Si Re,Mi Fa# Sol# Si,Mi Fa# Sol Si,Mi Sol# La Si,Mi Sol La Si,Mi Sol# Si Fa#,Mi Sol Si Fa#,Mi Sol# Si Re Fa#,Mi Sol Si Re Fa#,Mi Sol# Si Re# Fa#,Mi Sol# Si Re Fa# La,Mi Sol Si Re Fa# Do#,Mi Sol# Si Re Fa# Do#,Mi Sol# Si Re# Fa# Do#,Mi La Si Re Fa# Do#,Sol# Si Mi,Si Mi Sol#,Re Mi Sol# Si,Fa# Mi Sol# Si Re,La Mi Sol# Si Re Fa#,Do# Mi Sol# Si Re Fa# La
